
[17/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Yuri_Semionevich sa $1310752682, razlog: .
[17/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Nikolaj_Zajcev sa $1215752654, razlog: .
[17/07/2020] AdmCMD: Unknown je novcano kaznio igraca James_McCharty sa $1215791668, razlog: .
[17/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Eliott_Lloyd sa $1315752616, razlog: .
[17/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Brody_Prescott sa $1215752760, razlog: .
[17/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Michael_Bryant sa $1215752751, razlog: .
[17/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Michelle_Stewart sa $1215752751, razlog: .
[17/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Raylon_Murphy sa $1315752192, razlog: .
[17/07/2020] AdmCMD: Brent je novcano kaznio igraca Elliot_Richards sa $1215752680, razlog: .
[17/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Pavel_Levitsky sa $1215752305, razlog: .
[18/07/2020] AdmCMD: tacZo je novcano kaznio igraca Pablo_Galvez sa $1500, razlog: oglas
[18/07/2020] AdmCMD: Brent je novcano kaznio igraca Vladimir_Abramovich sa $10000, razlog: transporter
[18/07/2020] AdmCMD: Brent je novcano kaznio igraca Taylor_Jones sa $14000, razlog: transporter
[18/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Carmen_Attardi sa $50000, razlog: IC
[18/07/2020] AdmCMD: Brent je novcano kaznio igraca Robert_Doherty sa $20000, razlog: transporter
[21/07/2020] AdmCMD: BrownNN je novcano kaznio igraca Adrian_Campbell sa $1000, razlog: IC
[23/07/2020] AdmCMD: tacZo je novcano kaznio igraca Lorenzzo_Navarra sa $5000, razlog: IC
[23/07/2020] AdmCMD: Brent je novcano kaznio igraca Johnny_Suarez sa $129000, razlog: transporter
[25/07/2020] AdmCMD: Avetinja je novcano kaznio igraca Jason_Franklin sa $10000, razlog: jebeni_kredit
[25/07/2020] AdmCMD: Cruella. je novcano kaznio igraca Bonifacie_Gambiroza sa $7460, razlog: test
[25/07/2020] AdmCMD: Avetinja je novcano kaznio igraca Jason_Franklin sa $25000, razlog: .
[26/07/2020] AdmCMD: tacZo je novcano kaznio igraca Zyrell_Haynes sa $27500, razlog: blah
[26/07/2020] AdmCMD: BrownNN je novcano kaznio igraca Adrian_Campbell sa $23000, razlog: Biznis_Bug
[02/08/2020] AdmCMD: tacZo je novcano kaznio igraca Pedro_Alonso sa $5000, razlog: IC
[14/08/2020] AdmCMD: tacZo je novcano kaznio igraca Emmanuel_Belyea sa $500, razlog: ic
[14/08/2020] AdmCMD: Avetinja je novcano kaznio igraca Emmanuel_Belyea sa $500, razlog: IC
[16/08/2020] AdmCMD: BrownNN je novcano kaznio igraca Ralph_Masotti sa $250000, razlog: IC
[20/08/2020] AdmCMD: tacZo je novcano kaznio igraca Silean_Zifteriy sa $5000, razlog: IC
[23/08/2020] AdmCMD: Avetinja je novcano kaznio igraca Murat_Burakgazi sa $1000, razlog: IC
[24/08/2020] AdmCMD: Brent je novcano kaznio igraca Diego_Molinero sa $500000, razlog: oduzimanje imovine
[26/08/2020] AdmCMD: tacZo je novcano kaznio igraca Nathan_Wing sa $5000, razlog: IC
[26/08/2020] AdmCMD: Avetinja je novcano kaznio igraca Andrew_Moore sa $5000, razlog: IC
[26/08/2020] AdmCMD: BrownNN je novcano kaznio igraca Simon_Dave sa $150000, razlog: IC
[26/08/2020] AdmCMD: Lemylica je novcano kaznio igraca Emmanuel_Belyea sa $980, razlog: IC
[28/08/2020] AdmCMD: BrownNN je novcano kaznio igraca Jonathan_Brown sa $500, razlog: IC
[28/08/2020] AdmCMD: Avetinja je novcano kaznio igraca Miguel_Moyano sa $300, razlog: IC
[30/08/2020] AdmCMD: Brent je novcano kaznio igraca Ramon_Cano sa $75000, razlog: IC
[31/08/2020] AdmCMD: Avetinja je novcano kaznio igraca Emmanuel_Belyea sa $5, razlog: IC
[01/09/2020] AdmCMD: BrownNN je novcano kaznio igraca Jonathan_Brown sa $450000, razlog: .
[02/09/2020] AdmCMD: Avetinja je novcano kaznio igraca Charles_Falco sa $300, razlog: IC
[05/09/2020] AdmCMD: Kabir je novcano kaznio igraca Chester_Grant sa $900, razlog: IC
[05/09/2020] AdmCMD: tacZo je novcano kaznio igraca Richard_Costanelli sa $200, razlog: IC
[06/09/2020] AdmCMD: Cesar je novcano kaznio igraca Aaron_Schaffner sa $250000, razlog: neaktivnost
[07/09/2020] AdmCMD: tacZo je novcano kaznio igraca Trest_Robertson sa $50, razlog: IC
[07/09/2020] AdmCMD: tacZo je novcano kaznio igraca Oday_Perkins sa $150, razlog: ic
[08/09/2020] AdmCMD: Lemylica je novcano kaznio igraca Gary_Cox sa $120, razlog: IC
[11/09/2020] AdmCMD: Avetinja je novcano kaznio igraca Richard_McCall sa $300, razlog: IC
[11/09/2020] AdmCMD: tacZo je novcano kaznio igraca Mark_Griffins sa $5000, razlog: IC
[16/09/2020] AdmCMD: BrownNN je novcano kaznio igraca Sato_Kiyoshi sa $29999, razlog: IC
[16/09/2020] AdmCMD: tacZo je novcano kaznio igraca Austin_Bennett sa $250, razlog: IC
[20/09/2020] AdmCMD: Cesar je novcano kaznio igraca Jack_Vargo sa $1000, razlog: IC
[21/09/2020] AdmCMD: BrownNN je novcano kaznio igraca Jonathan_Brown sa $8000000, razlog: Bug
[22/09/2020] AdmCMD: BrownNN je novcano kaznio igraca Robert_Pennington sa $13000000, razlog: Abuse
